Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 07/31  07:00:00,16.0,23.270106842862468,15.124586967239495,12.229852113292681,0.0
 07/31  08:00:00,17.0,23.318323207118624,19.46487732481831,32.629500964642475,0.0
 07/31  09:00:00,18.0,23.369235355186877,24.75484544827126,61.453989981596415,0.0
 07/31  10:00:00,20.0,23.387852291325064,28.40613916972204,93.71934070647553,0.0
 07/31  11:00:00,22.0,23.42267447273512,32.66828373362472,123.55630509849851,0.0
 07/31  12:00:00,24.0,23.434715525913926,36.04114297984225,148.1456686961531,0.0
 07/31  13:00:00,26.0,23.44046577596321,38.53978997607988,168.74591791210915,0.0
 07/31  14:00:00,28.0,23.46895566199238,39.31974365406382,197.9140550710053,0.0
 07/31  15:00:00,29.0,23.469779209436727,36.928861200974566,225.66826136926122,0.0
 07/31  16:00:00,29.0,23.388814921194665,36.121171778384415,235.9911123596702,0.0
 07/31  17:00:00,29.0,23.349203698174318,34.21019974406118,237.9609067461076,0.0
 07/31  18:00:00,28.0,23.3001452354207,31.61782320875259,223.56320281651384,0.0
 07/31  19:00:00,25.0,23.23655774624525,28.09621563693658,180.38350814386467,0.0
 07/31  20:00:00,22.0,23.211852359774404,24.589331523854476,125.05748059035923,0.0
 07/31  21:00:00,20.0,23.229883998671188,21.453000996278824,83.42073573252864,0.0
 07/31  22:00:00,18.7,23.278444777446865,19.42722907887717,55.48732211500563,0.0
 07/31  23:00:00,17.4,24.203872261133633,18.08178836233938,0.0,0.0
 07/31  24:00:00,16.1,24.127583642631418,17.282784022006517,0.0,0.0
 08/01  01:00:00,14.9,23.72030093567779,16.00867183514588,0.0,0.0
 08/01  02:00:00,13.6,23.3405256593566,14.47206519044367,0.0,0.0
 08/01  03:00:00,12.3,22.920779513044973,12.984175758677608,0.0,0.0
 08/01  04:00:00,11.0,22.578539442704336,11.946943836096505,0.0,0.0
 08/01  05:00:00,10.0,22.156125412931278,10.737675470283463,0.0,0.0
 08/01  06:00:00,11.0,22.38324280629326,10.578638389352601,0.0,0.0
 08/01  07:00:00,12.0,22.641374787995844,12.655905506720021,0.0,0.0
 08/01  08:00:00,13.0,22.947218270283905,15.799830062029773,0.0,0.0
 08/01  09:00:00,14.0,23.319398788124396,18.381689274579585,0.0,0.0
 08/01  10:00:00,17.0,23.28592902020976,22.87158197048706,30.68020821418753,0.0
 08/01  11:00:00,18.0,23.336561694474227,23.637128204287723,37.98468441956418,0.0
 08/01  12:00:00,18.0,23.34124834144272,24.11586777199962,43.52283124499393,0.0
 08/01  13:00:00,18.0,23.351141391855496,25.36538341740289,55.57789862201095,0.0
 08/01  14:00:00,19.0,23.382104557273177,27.41556209099245,74.23992933141248,0.0
 08/01  15:00:00,19.0,23.348327794483367,27.002866190424392,68.00440556984401,0.0
 08/01  16:00:00,20.0,23.357723286462626,27.15018641784728,79.22310052663353,0.0
 08/01  17:00:00,21.0,23.37485629643776,28.123263975161166,102.86707727918478,0.0
 08/01  18:00:00,21.0,23.33014941884632,27.13662827721351,85.27501386556439,0.0
 08/01  19:00:00,19.0,23.28538009189652,24.542256387921796,61.1856156629613,0.0
 08/01  20:00:00,18.0,23.258144353425404,21.31939849615351,36.93567413444999,0.0
 08/01  21:00:00,17.0,23.328071060422694,19.91094686485238,20.604177409362137,0.0
 08/01  22:00:00,17.0,23.28728946304808,18.878822962245074,11.818875397917825,0.0
 08/01  23:00:00,16.0,23.358753144890194,17.86954073462078,0.0,0.0
 08/01  24:00:00,16.0,23.267914409042344,17.37546336655443,0.0,0.0
 08/02  01:00:00,16.0,23.129212818791757,16.983789716876785,0.0,0.0
 08/02  02:00:00,16.0,22.9671234912615,16.84994206174645,0.0,0.0
 08/02  03:00:00,15.0,22.708433288207903,16.412689646685024,0.0,0.0
 08/02  04:00:00,16.0,22.730101307730713,16.29246452152444,0.0,0.0
 08/02  05:00:00,14.8,22.448364049353206,15.992792598269363,0.0,0.0
 08/02  06:00:00,14.0,22.442691950690232,15.959184385297293,0.0,0.0
 08/02  07:00:00,15.0,23.02892724107213,17.55474855752451,0.0,0.0
 08/02  08:00:00,16.0,23.3145740313946,20.355689463239766,12.589041015212786,0.0
 08/02  09:00:00,18.0,23.356202122805623,24.014402998615186,42.89895883015127,0.0
 08/02  10:00:00,19.0,23.375569946797512,25.82125861715032,68.71148513834264,0.0
