Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil NaturalGas Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil Electricity Rate [W](Hourly)
 12/23  04:00:00,3.0,18.55238201051323,17.64969672104762,21.93639409535614,2345.9538754637047,0.0
 12/23  05:00:00,3.0,18.557230176206673,18.20760016726763,21.798540602381877,2331.4991130307885,0.0
 12/23  06:00:00,3.0,19.96194446256758,18.16266914906409,36.18094725956518,3869.020361768058,0.0
 12/23  07:00:00,3.0,20.180928168242886,18.425356804196777,39.00592928954605,3975.944645318438,0.0
 12/23  08:00:00,3.0,20.216504820266653,18.477541956868635,38.18375077486584,3862.2881232957593,0.0
 12/23  09:00:00,3.0,20.218769353206074,18.662120143641435,38.81667757578599,3921.325972087359,0.0
 12/23  10:00:00,3.0,20.223342838849796,19.299722130503323,37.34186343814559,3771.9714945757787,0.0
 12/23  11:00:00,3.0,20.22355361993823,19.852246578513554,36.430220193181796,3679.25142589835,0.0
 12/23  12:00:00,3.0,20.222381570558724,20.387725450039227,35.76121993430964,3611.6335684745677,0.0
 12/23  13:00:00,3.0,20.220301395306898,19.893331312811856,36.02648166634745,3638.554743797807,0.0
 12/23  14:00:00,3.0,20.222298174204717,21.347950285479044,34.633482635158565,3498.1009569333914,0.0
 12/23  15:00:00,3.0,20.22481484711145,22.137963187492495,32.771519297312224,3309.795625433238,0.0
 12/23  16:00:00,3.0,20.21607794346202,21.059311752712652,34.30263131111925,3464.116086004375,0.0
 12/23  17:00:00,3.0,20.215170803097145,18.86996398737202,35.48211978071384,3584.3246713265935,0.0
 12/23  18:00:00,3.0,20.216796968125855,19.370424361536347,35.673561163015364,3603.7731903289787,0.0
 12/23  19:00:00,4.0,20.221009096114965,18.969342788271426,35.50557961272895,3586.5991779993683,0.0
 12/23  20:00:00,4.0,20.22296104514914,19.099932985861834,34.60874072357766,3495.465409848892,0.0
 12/23  21:00:00,3.0,20.214536404237265,18.682354294100456,38.006385859874335,3838.35362612131,0.0
 12/23  22:00:00,4.0,20.2219981401898,18.869238585591436,36.63465671685018,3700.9064222382435,0.0
 12/23  23:00:00,4.0,18.708492663083998,18.919349110607634,18.482243755223404,1866.6133196019373,0.0
 12/23  24:00:00,4.0,18.570397193936966,18.83547223481208,19.8172436934231,2108.2086650278084,0.0
 12/24  01:00:00,4.0,18.55550177705697,18.82042473317417,21.120512054525193,2257.2435738985187,0.0
 12/24  02:00:00,3.0,18.54880996346105,18.628351434862108,23.75260124208025,2539.8132411618685,0.0
 12/24  03:00:00,3.0,18.55151398334262,18.48316320515994,24.41728921901306,2611.4777913843623,0.0
 12/24  04:00:00,3.0,18.552198678901927,17.193919494426172,25.12976607391558,2687.4440135582163,0.0
 12/24  05:00:00,3.0,18.547405381961834,17.423850523919448,27.33474731248887,2922.7206144287147,0.0
 12/24  06:00:00,3.0,19.942256503993075,17.319739146873403,41.47542817513654,4434.821415167319,0.0
 12/24  07:00:00,3.0,20.17572705645991,17.321587684119322,44.82209155289814,4569.827592551663,0.0
 12/24  08:00:00,3.0,20.216940470217878,18.12073887667687,43.007491069895885,4348.8296824044455,0.0
 12/24  09:00:00,2.0,20.215293581017658,18.185313226195124,45.53893773910004,4597.932545051549,0.0
 12/24  10:00:00,3.0,20.226335506549166,17.423672875905332,41.64816817359195,4205.1787502696225,0.0
