Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),HEATING_FUEL_BACKUP:Heating Coil NaturalGas Rate [W](Hourly),HEATING_FUEL_BACKUP:Heating Coil Electricity Rate [W](Hourly) 
 12/21  17:00:00,-6.2,20.540040127242205,-2.1678951851510446,189.6217433053669,0.0,4752.58816348997,0.0 
 12/21  18:00:00,-6.2,20.53991156232382,-2.1622316789012627,189.6217433053669,0.0,4786.172202758383,0.0 
 12/21  19:00:00,-6.2,20.539782756323775,-2.1569392004772447,189.6217433053669,0.0,4817.449351268261,0.0 
 12/21  20:00:00,-6.2,20.53964051891785,-2.1520481978908565,189.6217433053669,0.0,4846.053168204364,0.0 
 12/21  21:00:00,-6.2,20.539531441954755,-2.14735842730242,189.6217433053669,0.0,4873.646572211735,0.0 
 12/21  22:00:00,-6.2,20.539434887988255,-2.142979134372698,189.6217433053669,0.0,4899.499153470998,0.0 
 12/21  23:00:00,-6.2,20.53934685604132,-2.138888795780464,189.6217433053669,0.0,4923.417581072393,0.0 
 12/21  24:00:00,-6.2,20.539253035977447,-2.134942509600086,189.6217433053669,0.0,4946.7068634832189,0.0 
 07/21  01:00:00,19.560000000000004,23.437466426444656,18.91680847143093,0.0,0.0,0.0,0.0 
 07/21  02:00:00,19.04,23.0921021526072,17.808853993263388,0.0,0.0,0.0,0.0 
 07/21  03:00:00,18.65,22.796001372649064,17.000519956321115,0.0,0.0,0.0,0.0 
 07/21  04:00:00,18.259999999999999,22.535914167275317,16.3615859316303,0.0,0.0,0.0,0.0 
 07/21  05:00:00,18.0,22.320021529336139,15.883852477583539,0.0,0.0,0.0,0.0 
 07/21  06:00:00,18.259999999999999,22.62968624469699,16.89580227865742,0.0,0.0,0.0,0.0 
 07/21  07:00:00,19.17,23.014259381354628,20.148944812197976,0.0,0.0,0.0,0.0 
 07/21  08:00:00,21.380000000000004,23.445755631846425,25.505379438854307,0.0,0.0,0.0,0.0 
 07/21  09:00:00,23.85,23.987485257844385,32.035673076799,0.0,0.0,0.0,0.0 
 07/21  10:00:00,26.06,24.593772953495674,38.45548101632731,0.0,0.0,0.0,0.0 
