Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/01  12:00:00,-1.7,20.712658181495358,6.975112252873912,11.78008937578263,97.24772815620676,1049.5411290049306,80.6068493082553,75.18595531811494,0.0
 01/01  13:00:00,-1.7,20.566014987529923,6.765605727949708,11.032451987064933,103.84057455333402,1118.6367670506793,92.76026070586407,66.56374858754855,0.0
 01/01  14:00:00,-0.6,20.680204837567627,8.368273492364555,13.837032735362481,95.25425362656881,1028.6575964720415,85.2128869167823,77.86792229302499,0.0
 01/01  15:00:00,-0.6,20.484506160088946,7.0859999927363879,10.867805739344503,101.3006653552341,1104.1720853919806,90.62469181230539,70.11140799160842,0.0
 01/01  16:00:00,-0.6,20.600312823510973,6.756079294272727,12.590439592417452,107.96232691282794,1163.5509833487218,96.58068250186926,61.57493488243868,0.0
 01/01  17:00:00,-0.6,20.58428757319763,6.213310940929531,13.870226720133444,100.45817286061825,1089.9775826674034,89.85342831990963,71.19395436008414,0.0
 01/01  18:00:00,0.0,20.59047811111852,5.484567616204296,14.018443066193548,89.50274868211172,974.8188455840183,82.5923701721519,85.32631358054029,0.0
 01/01  19:00:00,-0.6,20.53211719121132,3.893664994220725,10.297736795401887,89.56532585668039,973.5926911553696,81.43687394420587,85.13222832797011,0.0
 01/01  20:00:00,-1.1,20.431138499137263,4.086422559526622,11.349599758682958,102.56348779550527,1097.2713628985228,94.79981434068252,68.29974184383998,0.0
 01/01  21:00:00,-1.1,20.57752284422299,3.8296493609307507,12.716743213162312,99.43057568353662,1064.8974741724097,91.92840426720062,72.32162087614324,0.0
 01/01  22:00:00,-0.6,20.61734669428281,3.832692942697093,13.69011666291462,92.11957387512445,991.6036197232666,88.75841737779224,81.75513770925538,0.0
 01/01  23:00:00,-1.1,20.54115938873391,3.3214500600693617,13.70502557058401,101.5335017846258,1097.8771350778498,93.89290443116626,69.61624054754579,0.0
 01/01  24:00:00,-1.1,20.545502052232288,3.4155014343284719,13.76291455445391,110.68158943441549,1193.259009518674,103.92223618850014,57.834810810797467,0.0
 07/21  01:00:00,20.931999999999996,25.499810099764909,19.95836348789044,20.86026759008767,30.004690824720364,0.0,0.0,0.0,0.0
 07/21  02:00:00,20.187999999999997,25.508110371656213,19.013392077212857,20.40687719754936,17.320416634876599,0.0,0.0,0.0,0.0
 07/21  03:00:00,19.629999999999997,25.513363869469829,18.30870250051932,20.061111480873455,8.328541509532823,0.0,0.0,0.0,0.0
 07/21  04:00:00,19.071999999999997,25.50676501598674,17.712702780343617,19.7573510193442,1.742122243247885,0.0,0.0,0.0,0.0
 07/21  05:00:00,18.699999999999997,25.38388312892417,17.238188955681975,19.53182411758892,0.0,0.0,0.0,0.0,0.0
 07/21  06:00:00,19.071999999999997,25.559461678702218,18.49418684690692,19.591835143114996,14.729927349433947,0.0,0.0,0.0,0.0
 07/21  07:00:00,20.373999999999996,25.640919853869293,22.02254727191049,20.036533404493484,41.13611161434665,0.0,0.0,0.0,0.0
 07/21  08:00:00,23.535999999999996,25.68088808686415,27.411517686109528,21.208845712634024,65.04005534896804,0.0,0.0,0.0,0.0
 07/21  09:00:00,27.069999999999994,25.660190761708646,33.774712326903507,22.05864478138391,89.31443113594193,0.0,0.0,0.0,0.0
 07/21  10:00:00,30.231999999999997,25.643351117334487,39.791333378432259,22.994642108794414,112.82277412546361,0.0,0.0,0.0,0.0
 07/21  11:00:00,33.022,25.634725041449589,44.99373952738857,23.834537161238186,133.43199812763207,0.0,0.0,0.0,0.0
 07/21  12:00:00,34.882,25.62495768002579,48.869560967079937,24.477493228396495,148.19131847230046,0.0,0.0,0.0,0.0
 07/21  13:00:00,36.37,25.75504233796511,51.43571548383159,25.040584377995928,158.0181194211391,0.0,0.0,0.0,0.0
 07/21  14:00:00,37.3,26.236538266633386,52.67644173681342,25.465248013225844,158.0181194211391,0.0,0.0,0.0,0.0
 07/21  15:00:00,37.3,26.749697440018747,52.39218433851347,25.71728397232786,158.0181194211391,0.0,0.0,0.0,0.0
 07/21  16:00:00,36.184,27.153610771391109,50.4529047720493,25.730088086099188,158.0181194211391,0.0,0.0,0.0,0.0
 07/21  17:00:00,34.696,27.431665334505135,47.05492184467417,25.6259328514795,158.0181194211391,0.0,0.0,0.0,0.0
 07/21  18:00:00,32.836,27.57951641813306,42.47526687625188,25.386670769038206,158.0181194211391,0.0,0.0,0.0,0.0
 07/21  19:00:00,30.045999999999997,27.38787512457574,36.83723713445722,24.87313673846883,158.0181194211391,0.0,0.0,0.0,0.0
 07/21  20:00:00,27.999999999999998,26.421221281662328,31.387529922135906,24.429242050509186,158.0181194211391,0.0,0.0,0.0,0.0
 07/21  21:00:00,26.325999999999998,25.752898103686268,27.281416753388109,23.921004381813864,139.3198991350773,0.0,0.0,0.0,0.0
 07/21  22:00:00,24.651999999999995,25.55884652627772,24.507600984314526,23.367001199901279,105.41158003230842,0.0,0.0,0.0,0.0
 07/21  23:00:00,23.349999999999996,25.516756245567899,22.631399860464268,22.886021710096924,74.26379331988187,0.0,0.0,0.0,0.0
 07/21  24:00:00,22.047999999999996,25.504905572679826,21.159215576592464,22.37081791837395,49.85267665872298,0.0,0.0,0.0,0.0
 12/21  01:00:00,-11.6,20.52270101701995,-3.2548196795473629,13.365643330150894,158.0181194211391,1640.6963210406464,55.57587585420504,0.0,3922.024102712727
 12/21  02:00:00,-11.6,20.522544417795744,-3.2134881151458156,12.652392794904643,158.0181194211391,1646.7024397193125,55.57587585420504,0.0,4020.4431211818016
 12/21  03:00:00,-11.6,20.5221843451639,-3.1823909203939415,12.36631569348554,158.0181194211391,1643.7429802531543,55.57587585420504,0.0,4211.326977590362
 12/21  04:00:00,-11.6,20.522075835492609,-3.156470916029756,12.039609786030772,158.0181194211391,1642.550584695011,55.57587585420504,0.0,4332.857410369201
 12/21  05:00:00,-11.6,20.52314737800557,-3.146121054155664,11.774099537187157,158.0181194211391,1641.1990994259582,55.57587585420504,0.0,4370.648013104059
 12/21  06:00:00,-11.6,20.52578077711538,-3.155868557965414,11.533936908127306,158.0181194211391,1640.1343906104895,55.57587585420504,0.0,4287.256785704387
 12/21  07:00:00,-11.6,20.52746032677982,-3.1707394385731435,11.318487830097917,158.0181194211391,1639.2182296881,55.57587585420504,0.0,4189.380537324123
 12/21  08:00:00,-11.6,20.527664966297647,-3.182933337017316,11.121629873497123,158.0181194211391,1638.3783690873759,55.57587585420504,0.0,4133.814252503659
 12/21  09:00:00,-11.6,20.52441705019092,-3.1689128854114179,10.939635713367965,158.0181194211391,1637.5746823994755,55.57587585420504,0.0,4251.68662702969
 12/21  10:00:00,-11.6,20.522154474654419,-3.1517315827552028,10.77005899993114,158.0181194211391,1636.737820414971,55.57587585420504,0.0,4390.356544210701
 12/21  11:00:00,-11.6,20.521610037809123,-3.1373636400217048,10.610023213058343,158.0181194211391,1635.9797041312548,55.57587585420504,0.0,4481.236666844852
 12/21  12:00:00,-11.6,20.521585655633776,-3.1258683465090346,10.458867382676458,158.0181194211391,1635.3084394515364,55.57587585420504,0.0,4541.22719545508
 12/21  13:00:00,-11.6,20.52147202516513,-3.1158652838138338,10.315643934200013,158.0181194211391,1634.6883198377232,55.57587585420504,0.0,4590.8086273340099
 12/21  14:00:00,-11.6,20.521469055511603,-3.1087292430553745,10.179521525168657,158.0181194211391,1634.0986938552608,55.57587585420504,0.0,4625.144503529792
 12/21  15:00:00,-11.6,20.52161761595343,-3.1046581819664169,10.049999798297476,158.0181194211391,1633.5416359995148,55.57587585420504,0.0,4642.677368441158
 12/21  16:00:00,-11.6,20.52288896724804,-3.111546892309475,9.926410250599455,158.0181194211391,1633.0163047237327,55.57587585420504,0.0,4595.949130883511
 12/21  17:00:00,-11.6,20.52673494295268,-3.1436977949109425,9.808033234357838,158.0181194211391,1632.5466799224767,55.57587585420504,0.0,4396.851472232158
 12/21  18:00:00,-11.6,20.530741459119715,-3.189812379256782,9.69510208545497,158.0181194211391,1632.1692534148504,55.57587585420504,0.0,4123.096395308774
 12/21  19:00:00,-11.6,20.53414540511156,-3.244956076115416,9.587287095574748,158.0181194211391,1631.8184369076203,55.57587585420504,0.0,3823.626423636501
 12/21  20:00:00,-11.6,20.534903118392035,-3.288333167426536,9.484031803890039,158.0181194211391,1631.471768027927,55.57587585420504,0.0,3623.740941035875
 12/21  21:00:00,-11.6,20.53470921384302,-3.3237201152297985,9.384428560545374,158.0181194211391,1631.07167980153,55.57587585420504,0.0,3494.618537715018
 12/21  22:00:00,-11.6,20.531571798262076,-3.328852441160388,9.287934011346183,158.0181194211391,1630.6605835345725,55.57587585420504,0.0,3546.207320554961
 12/21  23:00:00,-11.6,20.526313706465716,-3.302476988321984,9.193689532070659,158.0181194211391,1630.1813113194763,55.57587585420504,0.0,3782.8106597581106
 12/21  24:00:00,-11.6,20.521715281403627,-3.2585489177646078,9.101058206018174,158.0181194211391,1629.6531162252327,55.57587585420504,0.0,4091.721591897587
