Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 06/06  01:00:00,12.200000000000001,22.656043846788155,21.970842941852997,22.4761532803724,11.009497364479614,894.4695442623288
 06/06  02:00:00,12.200000000000001,22.65583585120333,22.053659711822178,22.483969218504342,11.89726141824098,966.543483870053
 06/06  03:00:00,12.200000000000001,22.65543979601539,21.950365560745905,22.648605532785712,12.478247271382058,1014.3475939125411
 06/06  04:00:00,12.200000000000001,22.65402770132005,21.80566864374681,22.52684960962525,14.193749256102208,1154.6805633545027
 06/06  05:00:00,11.558333333333332,22.65396923059016,21.470629989886064,22.059434793886822,15.027524826222438,1223.3542874404427
 06/06  06:00:00,10.458333333333334,22.65742131183066,20.795626751721485,21.947057429428316,11.384275142578568,926.9119052949071
 06/06  07:00:00,9.65,22.661854145543955,22.634236237253674,22.12011087406037,6.962223325632206,566.7275452412813
 06/06  08:00:00,9.75,22.786046145775817,26.57334621542726,21.485451707503504,1.0821092423908667,88.06028864651341
 06/06  09:00:00,10.641666666666667,24.00314641800577,27.898455192089575,20.43318786979271,0.0,0.0
 06/06  10:00:00,12.091666666666667,25.343744323607066,33.16308355402259,20.597723493801876,4.4452376441426305,0.0
 06/06  11:00:00,14.083333333333334,25.56035410079406,36.87621476845333,20.697572908633322,22.357065678904906,0.0
 06/06  12:00:00,15.35,25.54946161091662,36.48562441823728,20.519148606445487,31.415136962079757,0.0
 06/06  13:00:00,15.891666666666666,25.566849073533234,34.45454382028128,20.588933974095795,37.55621113456607,0.0
 06/06  14:00:00,16.45,25.55471304876882,33.02894869351856,20.709536094805724,38.75354789239835,0.0
 06/06  15:00:00,16.991666666666667,25.558207344892267,30.77309036190705,20.757949457299617,35.52902286514012,0.0
 06/06  16:00:00,17.2,25.55062535967022,30.331821513763582,20.803961398077686,31.15440098919777,0.0
 06/06  17:00:00,17.2,25.55588190213902,28.62227672050757,20.81311869684696,28.10984329256294,0.0
 06/06  18:00:00,17.2,25.555781407980685,25.464277950008164,20.844767188695247,23.889723908311762,0.0
 06/06  19:00:00,16.908333333333335,25.55573936476446,21.00560568729814,21.038826318717813,17.175547152327198,0.0
 06/06  20:00:00,16.058333333333334,25.551661063700838,18.00909095314048,21.244338453909556,5.449277761852421,0.0
 06/06  21:00:00,15.25,25.2166123942103,17.15580726842488,21.105751272427998,0.0,0.0
 06/06  22:00:00,14.008333333333333,24.410315196740346,15.200167295942824,21.049943470309664,0.0,0.0
 06/06  23:00:00,12.658333333333333,23.412753965941672,13.448328648204111,21.086307534382282,0.0,0.0
 06/06  24:00:00,12.550000000000002,22.696188215945185,16.004391280050772,21.638412823271494,6.370224744086911,520.2203076004188
 06/07  01:00:00,11.808333333333335,22.65356954977742,18.47266996115026,22.033026504211676,13.760655376381154,1123.0832708165965
 06/07  02:00:00,9.816666666666666,22.652724809624356,18.14122577964692,21.465664015342863,21.022937059190404,1713.4570936643206
 06/07  03:00:00,8.258333333333333,22.646071237516107,17.535203525376854,20.50873468942942,27.663542840328205,2251.6495306899283
 06/07  04:00:00,7.45,22.64456993675888,16.780658391124422,20.30434178031306,31.788785015183908,2584.0792275799286
 06/07  05:00:00,6.908333333333334,22.645280939411546,17.140532548319044,20.491775691778034,32.40516585885398,2631.6307124876403
 06/07  06:00:00,6.3500000000000005,22.65388819905128,18.982279152183008,21.219531078532857,28.478189762909395,2310.584934444773
 06/07  07:00:00,6.45,22.656164643191193,22.074478048005613,21.45495486308226,22.92592408796374,1858.8313223790165
 06/07  08:00:00,6.991666666666667,22.65991114942034,25.53656359247054,21.392721942995,16.751321883971787,1357.3414050633585
 06/07  09:00:00,7.841666666666666,22.656612773791455,28.098304761221357,20.973426665361334,12.861919095807352,1041.8839136690347
 06/07  10:00:00,8.941666666666668,22.660820493756574,28.332948398831913,20.559809703819564,7.195273806040537,582.5423194325989
 06/07  11:00:00,10.391666666666667,22.824549409528704,26.979411423507987,20.384742971155518,0.5715596686669762,46.2526424860669
 06/07  12:00:00,11.741666666666667,23.243062404206682,21.176268798437892,20.056997620525703,0.0,0.0
 06/07  13:00:00,13.833333333333334,23.4052485049779,24.193447860477914,20.010834503003604,0.0,0.0
 06/07  14:00:00,15.35,23.73947015267648,23.663482643618433,20.080752507921105,0.0,0.0
 06/07  15:00:00,15.25,23.66497800499332,21.71437378449026,19.899064526166065,0.0,0.0
 06/07  16:00:00,12.433333333333332,23.23879166760905,19.0812647031282,19.75577795543292,0.0,0.0
 06/07  17:00:00,10.600000000000001,23.03979263818412,18.43392571294108,20.06666765230733,0.0,0.0
 06/07  18:00:00,10.600000000000001,22.852866553416263,18.335042578369716,20.305795586766706,1.1021097662895152,89.29190393592653
 06/07  19:00:00,10.600000000000001,22.659211799456795,20.72919842717373,21.444386988744665,7.703075487322745,623.572327032513
