Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),INTERIOR LIGHTS:Lights Electricity Rate [W](Hourly),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](Hourly),GAS_MELS1:Gas Equipment NaturalGas Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 11/01  10:00:00,-1.9749999999999999,14.16666667,0.0,506.77965203664115,0.0,18.924614394169318,18.141532843678643,61.81343256761691,0.0,671.3111565490402,33.26797328670535,114.46372624316474,0.0
 11/01  11:00:00,0.3916666666666668,14.161111110000002,0.0,520.6761343414411,0.0,18.924565850971195,22.683565409134186,34.34815447005979,0.0,383.792906675098,19.679538242692157,152.58709986033904,0.0
 11/01  12:00:00,2.733333333333333,14.155555559999998,0.0,607.336928212692,0.0,18.929004155477383,25.543870769609615,19.507453744556646,0.0,224.39302735934731,10.877964234821286,173.1423111307394,0.0
 11/01  13:00:00,5.533333333333334,14.15,0.0,672.9528683819298,0.0,18.938373213493332,26.572051752646388,5.462057624247168,0.0,67.75800239290825,1.7136295385644864,192.50288430674937,0.0
 11/01  14:00:00,7.341666666666666,14.14444444,0.0,776.9339872001711,0.0,19.15888641613602,26.901685204958014,0.0,0.0,0.0,0.0,200.0,0.0
 11/01  15:00:00,8.441666666666666,14.138888890000002,0.0,864.2402959096866,0.0,19.64969162711114,25.93914096156841,0.0,0.0,0.0,0.0,200.0,0.0
 11/01  16:00:00,9.541666666666666,14.12777778,0.0,997.6160083977912,0.0,19.928501552613387,23.08961924599369,0.0,0.0,0.0,0.0,166.6666666666667,0.0
 11/01  17:00:00,10.0,14.12222222,0.0,1129.052911174682,0.0,19.79771451315848,18.703139319959202,0.0,0.0,0.0,0.0,0.0,0.0
 11/01  18:00:00,6.441666666666666,14.11666667,0.0,733.464527675441,0.0,19.285637469216994,15.222339797458568,2.9226386019497035,0.0,33.05547137194392,1.4891193285733817,195.98310083431022,0.0
 11/01  19:00:00,3.5500000000000003,14.111111109999998,0.0,628.6946708198737,0.0,18.92575904395173,12.774607012080658,20.080637325519096,0.0,221.96068147918928,12.68767729948577,172.36818049389854,0.0
 11/01  20:00:00,2.3666666666666667,14.10555556,0.0,579.8811906679781,0.0,18.91832070230573,12.071442115305423,34.89913718298079,0.0,376.1134318789841,25.741872498658932,151.8642814838985,0.0
 11/01  21:00:00,0.35833333333333334,14.1,0.0,512.1342520880995,0.0,18.916195211479625,11.701687358179894,52.85672628836218,0.0,563.5914189073644,36.36066445772908,126.93134704656433,0.0
 11/01  22:00:00,-0.25,14.094444440000002,0.0,450.21804950000643,0.0,18.925643986109815,11.318700041282895,65.55448775225808,0.0,693.2333406742064,46.89128988362805,109.26956624257407,0.0
 11/01  23:00:00,-0.9916666666666667,14.088888889999998,0.0,307.7501342676382,0.0,18.91713347915851,11.363760037414197,79.38308061691168,0.0,829.3873836014204,61.36917167007471,89.89016544763531,0.0
 11/01  24:00:00,-2.341666666666667,14.08333333,0.0,278.02457722825693,0.0,18.918039757290774,11.189689578604408,97.45178205761637,0.0,1020.5035988893675,65.11029024035216,64.79046145534366,0.0
 11/02  01:00:00,-2.8000000000000003,14.07777778,0.0,230.390321354088,0.0,18.929432669174485,10.99326588729148,101.12300679960869,0.0,1062.8507703695177,60.59281195452374,59.79054520446496,0.0
 11/02  02:00:00,-2.8000000000000003,14.07777778,0.0,213.20414043862502,0.0,18.92478972132508,11.41268171153107,101.02234730341718,0.0,1062.8464124260129,60.5443212470071,59.929370581021566,0.0
 11/02  03:00:00,-3.4416666666666664,14.07777778,0.0,210.26097427116846,0.0,18.920967666952304,11.590519213484802,108.81929329734866,0.0,1144.9074003167973,61.432802909435246,49.09022978485003,0.0
 11/02  04:00:00,-4.191666666666666,14.07222222,0.0,207.41531063562232,0.0,18.92557186079615,11.192767725689718,119.72276776770444,0.0,1250.6926513856588,68.7734036758564,33.75421893285287,0.0
 11/02  05:00:00,-4.3999999999999995,14.07222222,0.0,287.44432382438646,0.0,18.92591530116557,11.074414181224078,121.98828840823374,0.0,1268.7457697283428,72.8260538762399,30.46562044665738,0.0
 11/02  06:00:00,-5.1000000000000005,14.07222222,0.0,420.26081478047143,0.0,18.922805480168968,11.178703776123605,130.97683304429097,0.0,1361.540310183392,73.2519085574264,17.95084071094188,0.0
 11/02  07:00:00,-5.25,14.066666670000002,0.0,737.5770567528995,0.0,18.926535815694812,10.900498688570778,129.19676289126338,0.0,1352.2361432721025,61.02231469163578,20.791097648587066,0.0
