Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),INTERIOR LIGHTS:Lights Electricity Rate [W](Hourly),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](Hourly),GAS_MELS1:Gas Equipment NaturalGas Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/18  21:00:00,4.191666666666666,7.944444443999999,0.0,989.2735589442774,0.0,18.75628527886545,7.4197273592192765,11.73248474097443,99.3823703318531,0.0,1144.2517658197564,74.31791071702402,111.47186367520415,0.0
 01/18  22:00:00,4.3999999999999995,7.938888889,0.0,906.3868237403912,0.0,18.762297408952676,7.027265901794181,11.73843474220149,111.98821711994202,0.0,1271.071926195239,97.62224259732211,100.20341533343623,0.0
 01/18  23:00:00,4.75,7.938888889,0.0,750.5883169189983,0.0,18.76761931596383,7.092360428077086,11.865490812538154,117.42405856800838,0.0,1317.547946767666,115.18717470388755,95.3646628402164,0.0
 01/18  24:00:00,4.650000000000001,7.938888889,0.0,513.2217598133547,0.0,18.76845000334903,7.3729450392210305,12.103665850018094,119.41575351882045,0.0,1344.4674166634813,113.39284759578983,93.58730022798927,0.0
 01/19  01:00:00,3.7583333333333333,7.938888889,0.0,443.7840152717272,0.0,18.736412843720743,7.510819453974275,11.723057103566811,138.26379244441114,0.0,1538.3189429274537,135.5528013870812,76.56347116558206,0.0
 01/19  02:00:00,2.658333333333333,7.938888889,0.0,423.32591430746237,0.0,18.762455934375556,7.413897223409946,11.239561114100802,158.78194410552922,0.0,1784.945040786967,132.8070080495851,58.154396476002916,0.0
 01/19  03:00:00,2.1999999999999997,7.933333333,0.0,397.35542754957174,0.0,18.765805553677627,7.321485796806133,11.290506969578054,162.85993858597465,0.0,1819.5628881222337,140.05660872846977,54.36033782819104,0.0
 01/19  04:00:00,2.5500000000000003,7.933333333,0.0,405.9745840475161,0.0,18.762481614436705,7.213759923718361,11.261164240676178,167.87539105175026,0.0,1838.4476161633456,174.12418168149392,49.72089870610765,0.0
 01/19  05:00:00,2.4499999999999997,7.933333333,0.0,408.91458609491156,0.0,18.76788445229257,6.981531838813922,11.287072420369102,172.1412350358911,0.0,1879.2346127842065,181.9205800930554,45.83948782092275,0.0
 01/19  06:00:00,2.1999999999999997,7.933333333,0.0,422.61900870209473,0.0,18.768977101736706,6.471779419912656,11.395033451002478,170.70049624664168,0.0,1873.079616570364,171.28896674830182,47.13168259362639,0.0
 01/19  07:00:00,2.1999999999999997,7.933333333,0.0,470.8513828402674,0.0,18.766580155114227,6.741829568139861,11.405286505790363,168.94641947948088,0.0,1851.3685356271171,171.2642359910833,48.68676210905508,0.0
 01/19  08:00:00,2.5500000000000003,7.933333333,0.0,606.3420348560154,0.0,18.765722761692107,7.084081484239821,11.359147771446052,167.01762371952188,0.0,1831.965282042752,171.2600903843228,50.50265946131112,0.0
 01/19  09:00:00,3.0916666666666663,7.927777778,0.0,716.9878615269286,0.0,18.769902281017625,7.473267421671572,11.225250304896361,155.27840153149134,0.0,1699.925734701639,166.16122251498288,61.10953399978782,0.0
 01/19  10:00:00,3.65,7.927777778,0.0,729.9837511717797,0.0,18.772144828997863,8.746333161655373,11.03394670483676,104.3950703122282,0.0,1143.4729048496977,114.63598745674408,106.70652719061523,0.0
 01/19  11:00:00,4.191666666666666,7.927777778,0.0,758.1142568021309,0.0,18.765279255596997,10.80369483830011,11.000905716100648,71.99962002418606,0.0,797.0812544880582,75.5313443714695,135.7500561469764,0.0
 01/19  12:00:00,5.1000000000000005,7.922222222000001,0.0,766.4879979251556,0.0,18.779703749559527,12.052200075584523,11.150140801900077,59.3122046082654,0.0,720.4970550503531,33.74760677863697,147.2397228743289,0.0
 01/19  13:00:00,5.891666666666666,7.922222222000001,0.0,838.323959163973,0.0,18.744573840733153,11.835187360976256,11.122908190769772,56.188676712799825,0.0,756.5991854152056,0.0,150.13491607207325,0.0
 01/19  14:00:00,6.1000000000000005,7.916666667,0.0,878.7523915467435,0.0,18.76728709516088,10.692918241975685,11.126179484591079,67.17077886863765,0.0,906.5773101020541,0.0,140.3887629724903,0.0
 01/19  15:00:00,6.45,7.916666667,0.0,872.3214169181911,0.0,18.76577977276398,9.696486477769241,11.237987391195707,71.54457028350295,0.0,969.3148004059902,0.0,136.50720731492802,0.0
 01/19  16:00:00,6.058333333333334,7.911111110999999,0.0,897.2395230325768,0.0,18.77719249965743,9.35412424424736,11.395670614364777,72.78238376560576,0.0,982.145178644107,0.0,135.4086999859929,0.0
 01/19  17:00:00,5.891666666666666,7.911111110999999,0.0,989.5173552658244,0.0,18.763392688715353,9.076784131477838,11.508023644965954,72.72764539507496,0.0,979.4819040936612,0.0,135.45727798427092,0.0
 01/19  18:00:00,6.1000000000000005,7.905555556,0.0,1107.2843595994316,0.0,18.763997667406155,8.649156353290339,11.521124488623478,75.48521941826765,0.0,1018.801549299421,0.0,133.01004718709768,0.0
 01/19  19:00:00,5.808333333333333,7.905555556,0.0,1000.603873860044,0.0,18.768442885902495,7.582370451381572,11.60651457664301,78.59423790057251,0.0,1057.5542828340617,0.0,130.2509242352256,0.0
 01/19  20:00:00,5.6000000000000005,7.905555556,0.0,1085.9183189446824,0.0,18.75810209383038,6.915551210521653,11.601831090781282,82.92811812960646,0.0,1113.260022191681,0.0,126.40478807403831,0.0
 01/19  21:00:00,5.6000000000000005,7.8999999999999995,0.0,1082.997113554931,0.0,18.767581435561006,7.029581924533972,11.582815016192045,85.22113571405585,0.0,1144.1656765819146,0.0,124.3698315492349,0.0
 01/19  22:00:00,5.891666666666666,7.8999999999999995,0.0,992.2577076886743,0.0,18.750063479873678,7.691699711217292,11.43153948144216,88.58272898198872,0.0,1192.6752078183697,0.0,121.38655911351229,0.0
 01/19  23:00:00,6.1000000000000005,7.894444444,0.0,821.6988853505947,0.0,18.777310775657455,8.336921380126496,11.458580452469173,88.77190832394014,0.0,1198.2604708307356,0.0,121.21867041572257,0.0
 01/19  24:00:00,5.808333333333333,7.894444444,0.0,561.8442739787735,0.0,18.76598146199743,8.504727362181947,11.59099074928009,86.21958615930735,0.0,1160.1368568982168,0.0,123.48374883358697,0.0
 01/20  01:00:00,5.891666666666666,7.888888889,0.0,301.7904504996272,0.0,18.776334711560178,8.502278490266173,11.802889063357691,84.6808776727138,0.0,1140.580167341697,0.0,124.84928780537628,0.0
 01/20  02:00:00,5.458333333333333,7.888888889,0.0,287.8781433999854,0.0,18.750354696291108,8.529688093538143,11.955772546230824,91.48052846524091,0.0,1175.8916666698642,24.857968730286746,118.72938259857028,0.0
 01/20  03:00:00,5.0,7.888888889,0.0,270.2171988218906,0.0,18.760967911996236,8.683971462035283,12.04198223059454,125.79672957474976,0.0,1365.3827336569213,155.72371169473624,87.82501581245704,0.0
 01/20  04:00:00,4.650000000000001,7.883333333,0.0,276.0785616311136,0.0,18.76869136256131,8.563018630418696,12.179223622483457,126.51442962690021,0.0,1364.2709497382536,160.4608192598051,87.0762105516415,0.0
