Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil NaturalGas Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil Electricity Rate [W](Hourly)
 07/15  18:00:00,34.3,23.21477145238197,34.761007791990984,26.743905809800193,77.07986604689194,0.0,0.0
 07/15  19:00:00,32.8,23.153488190877905,32.200303768526354,26.163973297889953,66.81528377940859,0.0,0.0
 07/15  20:00:00,28.7,23.005915641382693,28.894233254967936,24.95830884129146,49.49500639986244,0.0,0.0
 07/15  21:00:00,24.7,23.026174813546127,25.43487610382728,23.60328306620579,31.202721079895177,0.0,0.0
 07/15  22:00:00,20.6,23.13636205632512,22.296003366571853,22.757676490530436,17.827219351592372,0.0,0.0
 07/15  23:00:00,18.9,24.25642155459827,20.010321814910807,22.47018461626203,0.0,0.0,0.0
 07/15  24:00:00,17.3,23.856534762065277,18.09478829564398,21.84454610059474,0.0,0.0,0.0
 07/16  01:00:00,15.6,23.326784650777814,16.32582991381169,21.232278733912214,0.0,0.0,0.0
 07/16  02:00:00,15.4,22.91393769636168,14.963889174948033,21.777399831395797,0.0,0.0,0.0
 07/16  03:00:00,15.2,22.401396866101276,13.640112907362774,22.098745893690033,0.0,0.0,0.0
 07/16  04:00:00,15.0,21.910444368872987,12.24987919457802,22.501255134056443,0.0,0.0,0.0
 07/16  05:00:00,17.8,21.786120797515068,11.654503961441634,22.262110509685115,0.0,0.0,0.0
 07/16  06:00:00,20.5,21.840311101762893,13.594314960353405,22.22039043773504,0.0,0.0,0.0
 07/16  07:00:00,23.3,22.602625529537356,18.84715874964108,22.216329713572545,0.0,0.0,0.0
 07/16  08:00:00,25.5,23.21359208770397,25.88516042143488,22.555714949191696,4.880042281402514,0.0,0.0
 07/16  09:00:00,27.8,23.574911862850588,32.228146753115695,23.19503968774832,16.584628789966576,0.0,0.0
 07/16  10:00:00,30.0,23.59113244559941,36.50847919185533,24.028642746760287,34.31923609499375,0.0,0.0
 07/16  11:00:00,32.0,23.579729608022973,40.44617877370734,24.384644226349543,48.27936296987002,0.0,0.0
 07/16  12:00:00,34.1,23.567368484374175,43.95592980042399,25.036873263673503,58.04247186381369,0.0,0.0
 07/16  13:00:00,36.1,23.544745908875175,46.651773057208466,25.053362821039798,67.16178731736068,0.0,0.0
 07/16  14:00:00,37.0,23.61178608724106,47.30748734622533,25.528286923733376,77.03158732127453,0.0,0.0
 07/16  15:00:00,38.0,23.612450253595743,46.82013022642179,25.44964498118365,87.26483134728397,0.0,0.0
 07/16  16:00:00,38.9,23.523652970177533,45.48087366292693,25.574996695511274,94.07733197338112,0.0,0.0
 07/16  17:00:00,36.7,23.34521654514341,42.353533459446716,25.988555339376955,91.5510056239907,0.0,0.0
 07/16  18:00:00,34.4,23.19178826428354,38.654802029566426,26.26586483967169,82.70202038182374,0.0,0.0
 07/16  19:00:00,32.2,23.15299126255025,34.480584577539226,26.157675611976003,70.30964839320407,0.0,0.0
 07/16  20:00:00,28.5,23.06317197997778,30.240156130910066,24.95178815413911,52.82715054804101,0.0,0.0
 07/16  21:00:00,24.8,23.068557027674657,26.358884969014508,24.196138941832196,34.77055907817566,0.0,0.0
 07/16  22:00:00,21.1,23.13260397426416,22.814716169819675,23.492297082126072,21.538930592246317,0.0,0.0
 07/16  23:00:00,19.6,24.29102443254259,20.64778702226894,23.350201021876106,2.662437876471256,0.0,0.0
 07/16  24:00:00,18.2,24.338201964512603,18.38220509451787,23.54230946492207,0.0,0.0,0.0
 07/17  01:00:00,16.7,23.89961333598868,16.191228602199963,23.7954119026347,0.0,0.0,0.0
