Hour_of_Year,Time_(HH:MM),Hr_of_Day,Day_of_Year,Day_of_Week,Day_Name,Month,Heat_Sch_1,Heat_Sch_2,Cool_Sch_1,Cool_Sch_2,DHW_Sch_1,DHW_Sch_2,Custom_1,Custom_2,Custom_3
6437,1900-09-25 04:00:00,5,269,3,Tuesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6438,1900-09-25 05:00:00,6,269,3,Tuesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6439,1900-09-25 06:00:00,7,269,3,Tuesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6440,1900-09-25 07:00:00,8,269,3,Tuesday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6441,1900-09-25 08:00:00,9,269,3,Tuesday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6442,1900-09-25 09:00:00,10,269,3,Tuesday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6443,1900-09-25 10:00:00,11,269,3,Tuesday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6444,1900-09-25 11:00:00,12,269,3,Tuesday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6445,1900-09-25 12:00:00,13,269,3,Tuesday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6446,1900-09-25 13:00:00,14,269,3,Tuesday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6447,1900-09-25 14:00:00,15,269,3,Tuesday,9,19.444444444444443,21.11111111111111,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6448,1900-09-25 15:00:00,16,269,3,Tuesday,9,19.444444444444443,21.11111111111111,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6449,1900-09-25 16:00:00,17,269,3,Tuesday,9,19.444444444444443,17.77777777777778,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6450,1900-09-25 17:00:00,18,269,3,Tuesday,9,19.444444444444443,17.77777777777778,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6451,1900-09-25 18:00:00,19,269,3,Tuesday,9,19.444444444444443,18.333333333333332,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6452,1900-09-25 19:00:00,20,269,3,Tuesday,9,19.444444444444443,18.88888888888889,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6453,1900-09-25 20:00:00,21,269,3,Tuesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6454,1900-09-25 21:00:00,22,269,3,Tuesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6455,1900-09-25 22:00:00,23,269,3,Tuesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6456,1900-09-25 23:00:00,24,269,3,Tuesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6457,1900-09-26 00:00:00,1,270,4,Wednesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6458,1900-09-26 01:00:00,2,270,4,Wednesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6459,1900-09-26 02:00:00,3,270,4,Wednesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6460,1900-09-26 03:00:00,4,270,4,Wednesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6461,1900-09-26 04:00:00,5,270,4,Wednesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6462,1900-09-26 05:00:00,6,270,4,Wednesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6463,1900-09-26 06:00:00,7,270,4,Wednesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6464,1900-09-26 07:00:00,8,270,4,Wednesday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6465,1900-09-26 08:00:00,9,270,4,Wednesday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6466,1900-09-26 09:00:00,10,270,4,Wednesday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6467,1900-09-26 10:00:00,11,270,4,Wednesday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6468,1900-09-26 11:00:00,12,270,4,Wednesday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6469,1900-09-26 12:00:00,13,270,4,Wednesday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6470,1900-09-26 13:00:00,14,270,4,Wednesday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6471,1900-09-26 14:00:00,15,270,4,Wednesday,9,19.444444444444443,21.11111111111111,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6472,1900-09-26 15:00:00,16,270,4,Wednesday,9,19.444444444444443,21.11111111111111,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6473,1900-09-26 16:00:00,17,270,4,Wednesday,9,19.444444444444443,17.77777777777778,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6474,1900-09-26 17:00:00,18,270,4,Wednesday,9,19.444444444444443,17.77777777777778,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6475,1900-09-26 18:00:00,19,270,4,Wednesday,9,19.444444444444443,18.333333333333332,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6476,1900-09-26 19:00:00,20,270,4,Wednesday,9,19.444444444444443,18.88888888888889,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6477,1900-09-26 20:00:00,21,270,4,Wednesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6478,1900-09-26 21:00:00,22,270,4,Wednesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6479,1900-09-26 22:00:00,23,270,4,Wednesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6480,1900-09-26 23:00:00,24,270,4,Wednesday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6481,1900-09-27 00:00:00,1,271,5,Thursday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6482,1900-09-27 01:00:00,2,271,5,Thursday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6483,1900-09-27 02:00:00,3,271,5,Thursday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6484,1900-09-27 03:00:00,4,271,5,Thursday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6485,1900-09-27 04:00:00,5,271,5,Thursday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6486,1900-09-27 05:00:00,6,271,5,Thursday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6487,1900-09-27 06:00:00,7,271,5,Thursday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6488,1900-09-27 07:00:00,8,271,5,Thursday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6489,1900-09-27 08:00:00,9,271,5,Thursday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6490,1900-09-27 09:00:00,10,271,5,Thursday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6491,1900-09-27 10:00:00,11,271,5,Thursday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6492,1900-09-27 11:00:00,12,271,5,Thursday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6493,1900-09-27 12:00:00,13,271,5,Thursday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6494,1900-09-27 13:00:00,14,271,5,Thursday,9,19.444444444444443,19.444444444444443,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6495,1900-09-27 14:00:00,15,271,5,Thursday,9,19.444444444444443,21.11111111111111,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6496,1900-09-27 15:00:00,16,271,5,Thursday,9,19.444444444444443,21.11111111111111,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6497,1900-09-27 16:00:00,17,271,5,Thursday,9,19.444444444444443,17.77777777777778,23.333333333333332,25.0,48.888888888888886,53.33333333333333,,,
6498,1900-09-27 17:00:00,18,271,5,Thursday,9,19.444444444444443,17.77777777777778,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6499,1900-09-27 18:00:00,19,271,5,Thursday,9,19.444444444444443,18.333333333333332,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6500,1900-09-27 19:00:00,20,271,5,Thursday,9,19.444444444444443,18.88888888888889,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6501,1900-09-27 20:00:00,21,271,5,Thursday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6502,1900-09-27 21:00:00,22,271,5,Thursday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
6503,1900-09-27 22:00:00,23,271,5,Thursday,9,19.444444444444443,19.444444444444443,26.666666666666664,28.333333333333332,48.888888888888886,53.33333333333333,,,
