Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),LIVING:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),CRAWLSPACE:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 10/18  05:00:00,4.366666666666666,2.7916666666666665,0.0,0.0,0.0,24.91882365692373,6.166378575484964,13.051709195261878,41.65586094320843,3476.5997125417393
 10/18  06:00:00,4.141666666666667,1.8499999999999999,0.0,0.0,0.0,25.018706169207494,4.828323582730368,13.046077809234369,0.0,0.0
 10/18  07:00:00,4.158333333333333,0.875,9.259679514561945,0.0,0.0,25.33146387880861,5.747588375458179,14.885603243161606,42.795497431151524,3571.7138164558733
 10/18  08:00:00,4.258333333333334,0.0,7.421496171773399,0.0,0.0,25.249221052710734,6.710964778993179,16.073369879240236,30.24458041567924,2524.213812852171
 10/18  09:00:00,4.883333333333334,2.1,5.529989878437552,0.0,0.0,25.42293257346026,6.69100547851308,13.315303768051342,0.0,0.0
 10/18  10:00:00,5.825,2.725,12.456279193872028,0.0,0.0,25.043914456711605,9.295201159434471,13.706367162460959,28.78911765918882,2402.7408367509574
 10/18  11:00:00,6.8999999999999995,1.75,14.030602171329013,0.0,0.0,25.736541714681366,12.704168557174478,14.118720162785644,0.0,0.0
 10/18  12:00:00,7.983333333333333,0.625,12.865824957162168,0.0,0.0,24.90239447872236,15.228717900847935,14.767714918251684,0.0,0.0
 10/18  13:00:00,8.75,1.2249999999999999,16.223147135096593,0.0,0.0,24.7203005228175,17.940283154188172,14.847723673722145,25.880649794896385,2160.0
 10/18  14:00:00,9.583333333333334,1.75,13.341744075829107,0.0,0.0,25.31942113007214,18.323457978185264,14.14948101294344,0.0,0.0
 10/18  15:00:00,10.641666666666667,2.725,10.95703708116705,0.0,0.0,25.04772928597399,16.540679019463287,14.135580727548033,0.0,0.0
 10/18  16:00:00,10.049999999999999,3.891666666666667,12.628320785303528,0.0,0.0,24.80174291612411,13.768358497698086,13.597045129875182,0.0,0.0
 10/18  17:00:00,8.716666666666667,3.225,1.8596885815317385,0.0,0.0,24.579160915616942,11.233337618190887,13.406464715117602,0.0,0.0
 10/18  18:00:00,8.008333333333333,2.6,0.0,0.0,0.0,24.977156789132973,10.705159068227474,14.00500585003175,39.24245066310363,3275.1764002857103
 10/18  19:00:00,7.625,2.6,0.0,0.0,0.0,25.503536561995535,8.932695459247956,13.482596380479245,0.0,0.0
 10/18  20:00:00,7.383333333333333,2.891666666666667,0.0,0.0,0.0,25.043500803543818,7.736197877245973,13.337817392688516,0.0,0.0
