Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 07/27  03:00:00,15.0,22.253535490850346,13.024171112601502,19.35201451507756,0.0,0.0
 07/27  04:00:00,14.0,21.563133596877794,11.395305335764931,20.22562687087714,0.0,0.0
 07/27  05:00:00,14.0,20.9555614252132,10.058492377190655,20.091363666731326,0.0,0.0
 07/27  06:00:00,16.0,21.474989641512227,10.6296135894267,19.96279244395436,0.0,0.0
 07/27  07:00:00,17.0,22.57322832990894,14.679572830923663,19.853561594712293,0.0,0.0
 07/27  08:00:00,19.0,23.29119423816307,20.583613600124366,19.644783486697044,6.160414097900612,0.0
 07/27  09:00:00,20.0,23.322307482713743,24.600301640650002,20.04416519826063,24.678987647005165,0.0
 07/27  10:00:00,22.0,23.4387505273896,28.172395845455302,21.040069695268283,51.371461027925555,0.0
 07/27  11:00:00,23.0,23.41323418796565,31.095070896339443,21.202325817924557,70.71930064398592,0.0
 07/27  12:00:00,25.0,23.43229704407088,32.794384491723946,22.11342936798361,82.3853091010193,0.0
 07/27  13:00:00,27.0,23.4220352878198,34.70670654067826,22.73702120826183,92.15964282629221,0.0
 07/27  14:00:00,28.0,23.392742227183106,35.56345031773613,22.995878462598178,103.46407690870531,0.0
 07/27  15:00:00,28.0,23.361780537321202,35.30872013616221,23.082145234576448,113.00915602585425,0.0
 07/27  16:00:00,28.0,23.337524383164975,34.70361869604966,22.989663121167624,116.71035630842674,0.0
 07/27  17:00:00,28.0,23.36591528567448,32.1477994450451,23.650706232301815,116.7507139738967,0.0
 07/27  18:00:00,27.0,23.29696575228071,30.32317760867623,23.058704466576593,107.85303969705105,0.0
 07/27  19:00:00,27.0,23.291611746328847,28.329669149253984,22.86882610889425,89.98829432904682,0.0
 07/27  20:00:00,25.0,23.263078465508087,25.487432340009526,22.167460464134145,64.020536104526,0.0
 07/27  21:00:00,23.0,23.24928033500735,23.038417578091856,21.685641248640696,41.58330151119048,0.0
 07/27  22:00:00,22.0,23.262640468217025,21.43419402487994,21.40397347640633,26.329609389070857,0.0
 07/27  23:00:00,22.0,24.32928259358737,20.363662042089587,21.192674127074703,0.0,0.0
 07/27  24:00:00,19.0,24.0455740863572,17.74380077774546,20.92930177510287,0.0,0.0
 07/28  01:00:00,19.0,23.74550168606865,15.760573168254398,20.8488579602127,0.0,0.0
 07/28  02:00:00,17.0,23.11945981146751,14.204545847242908,20.752549496639293,0.0,0.0
 07/28  03:00:00,16.0,22.491702826532773,13.589234745993615,19.90571654765225,0.0,0.0
 07/28  04:00:00,16.0,22.004001156604534,12.108130716966999,20.498429211647583,0.0,0.0
 07/28  05:00:00,15.0,21.371999198817598,11.073917354525005,20.427469240899757,0.0,0.0
 07/28  06:00:00,16.0,21.69149937925482,12.21759189878076,19.749805333783424,0.0,0.0
 07/28  07:00:00,17.0,22.51640422437811,15.819619225699066,19.404539561570733,0.0,0.0
 07/28  08:00:00,17.0,23.287685784001987,19.620760938233218,19.499723347063803,4.5054882330169805,0.0
 07/28  09:00:00,17.0,23.297732943528118,22.992359360044137,19.444563868054857,24.210899099256046,0.0
 07/28  10:00:00,19.0,23.44979478867183,26.820687768604632,20.11407531889672,47.70451913332548,0.0
 07/28  11:00:00,21.0,23.43263332088043,31.38505119892164,20.931542145958314,67.05277294527471,0.0
 07/28  12:00:00,22.0,23.38787973547697,33.79729079081471,21.192517444612875,77.69208302767763,0.0
 07/28  13:00:00,23.0,23.375894587346362,34.321531553372004,21.704169404159472,84.12316182156704,0.0
 07/28  14:00:00,24.0,23.37374837761971,36.96610523842605,21.78137589617908,95.93915272691773,0.0
 07/28  15:00:00,24.0,23.365800958466394,36.13190145330154,21.983991975243484,105.53443482130884,0.0
 07/28  16:00:00,26.0,23.362446523701053,35.70419801520416,22.459767592049666,113.95466460201963,0.0
 07/28  17:00:00,26.0,23.34560923391299,35.18934116173822,22.271777157708023,115.35618695903463,0.0
 07/28  18:00:00,24.0,23.323661340078026,31.157761000621317,22.233700086734597,107.6938740256737,0.0
 07/28  19:00:00,23.0,23.296922109012808,28.294459271328435,21.86941225450571,91.3251447643917,0.0
 07/28  20:00:00,21.0,23.273495011775317,24.740131518691033,21.3017527518255,63.168358427933335,0.0
 07/28  21:00:00,19.0,23.252405164919562,21.460521771433363,20.792757122493743,37.19771784358588,0.0
 07/28  22:00:00,17.9,23.283881368886536,18.998710767335563,20.44781315507374,19.424025956244368,0.0
 07/28  23:00:00,17.0,23.702425080070242,17.421014115994815,20.075757503750477,0.0,0.0
 07/28  24:00:00,16.5,23.233473616981602,16.03154335666263,20.360053327397193,0.0,0.0
 07/29  01:00:00,16.0,22.737930208962357,14.1887157470669,20.94350259249542,0.0,0.0
 07/29  02:00:00,14.8,22.076148603034532,13.121416935997354,20.468364321166302,0.0,0.0
 07/29  03:00:00,13.9,21.42582879531571,12.618415158944625,19.61632735071279,0.0,0.0
 07/29  04:00:00,13.0,20.746721709035054,12.342521981862484,19.183674516020194,0.0,0.0
 07/29  05:00:00,13.1,20.21148171492559,12.130994827989674,19.133946645845427,0.0,0.0
 07/29  06:00:00,13.9,20.418930318865296,12.741434380736424,19.029343824422146,0.0,0.0
 07/29  07:00:00,15.5,21.435944829435844,15.548380604052792,19.09711623885415,0.0,0.0
 07/29  08:00:00,16.8,22.762027388398938,19.728400323025813,19.3282705495524,0.0,0.0
 07/29  09:00:00,18.4,23.28749351336499,24.539422943707596,19.756905153207345,15.058591270175937,0.0
 07/29  10:00:00,20.0,23.414988014917856,29.082478333589293,20.49168347748212,41.239067327990654,0.0
 07/29  11:00:00,22.0,23.438621890694243,33.16517264829006,21.24991275182429,64.46383090308557,0.0
 07/29  12:00:00,23.0,23.407095610664395,37.73208924833624,21.299224040190474,77.55233433553445,0.0
 07/29  13:00:00,24.0,23.39042131080506,38.0780421836137,21.878003731206345,85.87111133359512,0.0
 07/29  14:00:00,26.0,23.383965089409724,39.138576455107106,22.327677260889985,98.61141396981523,0.0
 07/29  15:00:00,27.0,23.368413081895348,42.47467678537405,22.061097020418902,110.23172495579516,0.0
 07/29  16:00:00,28.0,23.35833549563992,40.57171161965313,22.778114404350323,119.8923050513361,0.0
 07/29  17:00:00,27.0,23.348313451915324,37.16659759087773,22.79519879042323,120.36561829936417,0.0
 07/29  18:00:00,27.0,23.323008310839885,34.76616992845266,22.639093728611535,114.13922002855374,0.0
 07/29  19:00:00,25.0,23.30220428581051,30.84965276368381,22.307149288356275,97.8871976243593,0.0
 07/29  20:00:00,23.0,23.27706782404283,26.611901635686255,21.85908268111135,69.28962743102556,0.0
 07/29  21:00:00,21.0,23.255152522208334,22.829602199879222,21.467015811970906,43.20710178991748,0.0
 07/29  22:00:00,19.0,23.24033545493823,20.079917415744955,20.89862139609991,24.92665556735813,0.0
 07/29  23:00:00,18.0,23.967324889837492,18.146455347288864,20.934191916780236,0.0,0.0
 07/29  24:00:00,17.0,23.56923945132251,16.42575881418339,20.80171563550412,0.0,0.0
 07/30  01:00:00,16.0,23.024547454234984,15.081351577317031,20.546938856391925,0.0,0.0
 07/30  02:00:00,15.0,22.358653317298813,14.143674258315366,19.924322610973455,0.0,0.0
 07/30  03:00:00,14.0,21.67818217796657,13.248308377288195,19.71001138822534,0.0,0.0
 07/30  04:00:00,14.0,21.092849675874763,12.60423488579786,19.62154232651323,0.0,0.0
 07/30  05:00:00,13.0,20.460622200908507,10.907828793752365,20.578179138539237,0.0,0.0
 07/30  06:00:00,14.0,20.791579236161695,10.73642358785255,20.732956431165658,0.0,0.0
 07/30  07:00:00,16.0,21.82449921646261,14.31796714318751,19.989309818857837,0.0,0.0
 07/30  08:00:00,17.0,23.057016071689873,19.344936323008955,19.955819049555988,0.0,0.0
 07/30  09:00:00,18.0,23.308890470823528,24.329091582249728,20.188775450988228,18.15216676616124,0.0
 07/30  10:00:00,20.0,23.41525385256613,29.47642683775701,20.818391610360433,45.60776834850491,0.0
 07/30  11:00:00,22.0,23.442338358132048,36.53734567383347,21.37585194916664,69.87391223379797,0.0
 07/30  12:00:00,24.0,23.418053922172223,37.078079035689164,22.103734871586695,85.24626383156718,0.0
 07/30  13:00:00,26.0,23.39247548581175,38.171940652834195,22.58285786191033,95.95477097967897,0.0
 07/30  14:00:00,27.0,23.37748455735946,39.5125548881046,22.875184971859614,107.90025478162487,0.0
 07/30  15:00:00,28.0,23.373317858212303,37.82027819113068,23.40469665154252,117.94355993844769,0.0
 07/30  16:00:00,29.0,23.355940781240882,37.53596642418735,23.47593928861082,125.5669371895785,0.0
 07/30  17:00:00,29.0,23.33549839539943,35.77839943719472,23.71830598675587,124.24143602042952,0.0
 07/30  18:00:00,28.0,23.326569086436294,33.26407610455983,23.609642105856885,116.56969080176127,0.0
 07/30  19:00:00,26.0,23.294492913091165,30.44414771337191,22.846407288796662,98.26318645407626,0.0
 07/30  20:00:00,22.0,23.257411204303782,25.964640954702006,22.02807661177831,67.8099953287164,0.0
 07/30  21:00:00,22.0,23.296122156115132,23.03101816760599,22.07227085439409,44.220014692473804,0.0
 07/30  22:00:00,19.0,23.259491948727877,20.072043416313644,21.82506355702355,26.94388636213812,0.0
 07/30  23:00:00,18.0,24.028750182048267,18.183963204391514,21.139848682879748,0.0,0.0
 07/30  24:00:00,17.0,23.433432922989315,17.100146073685625,20.211941082190542,0.0,0.0
 07/31  01:00:00,16.0,23.068009585034492,15.552163811897815,20.844894804242543,0.0,0.0
 07/31  02:00:00,15.0,22.434106250310883,14.47774458701778,20.29043011623992,0.0,0.0
 07/31  03:00:00,14.0,21.70616598881168,13.548303041652744,19.846319878995907,0.0,0.0
 07/31  04:00:00,14.0,21.2315595746208,11.861903317844137,21.041818067781556,0.0,0.0
 07/31  05:00:00,13.0,20.48401428356041,11.24568269032041,20.225423703856215,0.0,0.0
 07/31  06:00:00,14.0,20.703372191619835,11.577846960192016,20.22072885536411,0.0,0.0
 07/31  07:00:00,16.0,21.781305085039453,15.433545083137775,20.215201969493755,0.0,0.0
 07/31  08:00:00,17.0,22.97537591293779,19.94209710889141,20.087587542331573,0.0,0.0
 07/31  09:00:00,18.0,23.299093600297834,25.345729591805956,20.543788061088467,19.292249158541825,0.0
 07/31  10:00:00,20.0,23.383348261990488,28.895732167073824,20.975560238244526,47.56135640545584,0.0
 07/31  11:00:00,22.0,23.429897109371797,33.22665210211672,21.719759818818872,70.68068531591159,0.0
 07/31  12:00:00,24.0,23.408691804893408,36.68929996459431,22.108077551228313,85.30751658034649,0.0
 07/31  13:00:00,26.0,23.390876630445433,39.4110045714778,22.680825728571328,95.06657078330656,0.0
 07/31  14:00:00,28.0,23.398822279385108,40.25986045150476,23.33568848209566,109.0490699315417,0.0
 07/31  15:00:00,29.0,23.388288020357436,38.032697133611336,24.058234580462987,122.14017458164271,0.0
 07/31  16:00:00,29.0,23.351334031322924,37.31090426139594,23.96861770600121,129.56078772267307,0.0
 07/31  17:00:00,29.0,23.338201349597146,35.52177881002347,24.113218695275336,128.7907360271253,0.0
 07/31  18:00:00,28.0,23.332577553691266,32.710361772949746,24.14709889828759,122.1817369748281,0.0
 07/31  19:00:00,25.0,23.287233751907017,28.917324737537022,23.247348935466345,100.98551819456821,0.0
 07/31  20:00:00,22.0,23.24166495578112,25.41440047108928,22.27102703782218,68.28841811454723,0.0
 07/31  21:00:00,20.0,23.210462769671008,22.035910365830873,21.357330900953983,41.39748345594153,0.0
 07/31  22:00:00,18.7,23.261576474552346,19.969837908842262,20.958556582480398,22.256014027280628,0.0
 07/31  23:00:00,17.4,23.69801259840021,18.44374921217816,20.74190456997639,0.0,0.0
 07/31  24:00:00,16.1,23.265721102159425,17.594037146014742,20.27606512201993,0.0,0.0
 08/01  01:00:00,14.9,22.630584858409087,16.31460858418877,20.292327307464515,0.0,0.0
 08/01  02:00:00,13.6,21.961569492863383,14.787050444007264,20.372030259664825,0.0,0.0
 08/01  03:00:00,12.3,21.203810705693993,13.297420997085005,20.18841520413532,0.0,0.0
 08/01  04:00:00,11.0,20.48093760021161,12.223103173866413,20.14847054535767,0.0,0.0
 08/01  05:00:00,10.0,19.680654812269914,10.950332626543936,19.787818983620372,0.0,0.0
 08/01  06:00:00,11.0,19.649587555603752,10.713348223095435,19.82538517268437,0.0,0.0
 08/01  07:00:00,12.0,19.763327765001495,12.760616492842866,20.08970597198497,0.0,0.0
 08/01  08:00:00,13.0,20.100921399832874,15.771534643759809,19.386413619908577,0.0,0.0
 08/01  09:00:00,14.0,20.621688400850672,18.19249597172987,19.340612732472522,0.0,0.0
 08/01  10:00:00,17.0,21.916690783743416,22.91646686873991,20.33698811738174,0.0,0.0
 08/01  11:00:00,18.0,22.65621444996716,23.72033643898532,20.04954749639915,0.0,0.0
 08/01  12:00:00,18.0,23.242499373001277,24.34970487088512,20.155568536669307,3.0249567100083468,0.0
