Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Mains Water Temperature [C](TimeStep),INTERIOR LIGHTS:Lights Electricity Rate [W](TimeStep),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](TimeStep),GAS_MELS1:Gas Equipment NaturalGas Rate [W](TimeStep),LIVING:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),FAN:Fan Electricity Rate [W](TimeStep),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](TimeStep),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](TimeStep)
 01/02  20:00:00,14.4,8.894444444,0.0,449.71410205278596,0.0,20.84191226503289,15.702138956200626,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  21:00:00,14.4,8.894444444,0.0,449.71410205278596,0.0,20.710983049391448,15.049066588037176,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  22:00:00,14.0,8.894444444,0.0,449.71410205278596,0.0,20.58848763192745,14.565984847585693,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  23:00:00,14.4,8.894444444,0.0,449.71410205278596,0.0,20.465561778794527,14.318219205892351,0.0,0.0,0.0,0.0,0.0,0.0
 01/02  24:00:00,14.4,8.9,0.0,449.71410205278596,0.0,20.356070708804083,14.207029606577182,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  01:00:00,14.0,8.9,0.0,449.71410205278596,0.0,20.254918140826266,13.985851907742381,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  02:00:00,14.4,8.9,0.0,449.71410205278596,0.0,20.25892379653037,13.868145420274645,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  03:00:00,14.0,8.905555556,0.0,449.71410205278596,0.0,20.129941312584403,13.756144894918563,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  04:00:00,14.0,8.905555556,0.0,449.71410205278596,0.0,20.034931848604735,13.703985931094355,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  05:00:00,14.0,8.905555556,0.0,449.71410205278596,0.0,19.948094933588926,13.796684302038274,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  06:00:00,14.0,8.905555556,0.0,449.71410205278596,0.0,19.959780533429715,13.689859849293661,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  07:00:00,14.4,8.911111111,0.0,449.71410205278596,0.0,19.966399807578927,13.844994017988316,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  08:00:00,14.4,8.911111111,0.0,449.71410205278596,0.0,19.927950954045254,13.94994107148425,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  09:00:00,15.0,8.911111111,0.0,449.71410205278596,0.0,19.9799333823454,14.830840274890884,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  10:00:00,15.6,8.911111111,0.0,449.71410205278596,0.0,20.05549938808513,15.72678287789474,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  11:00:00,17.2,8.911111111,0.0,449.71410205278596,0.0,20.292961451522473,18.174945124874384,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  12:00:00,18.9,8.911111111,0.0,449.71410205278596,0.0,20.63210512843718,21.78264754827051,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  13:00:00,20.6,8.911111111,0.0,449.71410205278596,0.0,20.92028989450585,24.863438957393814,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  14:00:00,20.6,8.911111111,0.0,449.71410205278596,0.0,21.289550644697812,26.939909281201793,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  15:00:00,22.0,8.911111111,0.0,449.71410205278596,0.0,21.848275313027976,31.100690982256086,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  16:00:00,22.8,8.911111111,0.0,449.71410205278596,0.0,22.144558967598208,28.98586087444271,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  17:00:00,21.0,8.911111111,0.0,449.71410205278596,0.0,22.182217685337356,26.93307559481555,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  18:00:00,18.0,8.911111111,0.0,449.71410205278596,0.0,21.952083239922764,23.96633264068934,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  19:00:00,19.0,8.911111111,0.0,449.71410205278596,0.0,21.77533200041838,21.79979939112984,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  20:00:00,19.4,8.911111111,0.0,449.71410205278596,0.0,21.59850621339096,20.64005672602768,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  21:00:00,20.0,8.911111111,0.0,449.71410205278596,0.0,21.48687120796165,20.31842374226325,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  22:00:00,20.0,8.911111111,0.0,449.71410205278596,0.0,21.32451189682793,20.121331564666566,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  23:00:00,21.0,8.911111111,0.0,449.71410205278596,0.0,21.31626054397649,20.598365456749036,0.0,0.0,0.0,0.0,0.0,0.0
 01/03  24:00:00,21.7,8.911111111,0.0,449.71410205278596,0.0,21.30928533285691,21.059355115897993,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  01:00:00,22.0,8.911111111,0.0,449.71410205278596,0.0,21.344063117831652,21.447976327415603,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  02:00:00,21.7,8.911111111,0.0,449.71410205278596,0.0,21.269540124534554,20.76209435525659,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  03:00:00,20.0,8.911111111,0.0,449.71410205278596,0.0,21.15570025690669,19.464049647955143,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  04:00:00,21.0,8.911111111,0.0,449.71410205278596,0.0,21.177774834508682,20.040753977462487,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  05:00:00,20.6,8.905555556,0.0,449.71410205278596,0.0,21.148151588198505,20.157403486415863,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  06:00:00,20.6,8.911111111,0.0,449.71410205278596,0.0,21.095768518234788,20.22628994298065,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  07:00:00,20.6,8.911111111,0.0,449.71410205278596,0.0,21.07322420851948,20.216848637974273,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  08:00:00,20.6,8.911111111,0.0,449.71410205278596,0.0,21.06850969180392,20.22422881053638,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  09:00:00,21.0,8.911111111,0.0,449.71410205278596,0.0,21.18135984125994,20.963619749321268,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  10:00:00,21.0,8.911111111,0.0,449.71410205278596,0.0,21.259633326556273,22.032645565437406,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  11:00:00,23.0,8.911111111,0.0,449.71410205278596,0.0,21.52325979039744,23.278152974723717,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  12:00:00,23.9,8.911111111,0.0,449.71410205278596,0.0,21.91432635393021,24.702547973809793,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  13:00:00,24.0,8.911111111,0.0,449.71410205278596,0.0,22.163758896786284,26.63127017352339,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  14:00:00,23.9,8.905555556,0.0,449.71410205278596,0.0,22.536095438751644,27.377498649325336,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  15:00:00,24.0,8.905555556,0.0,449.71410205278596,0.0,22.744463552970217,27.616660350745082,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  16:00:00,23.0,8.911111111,0.0,449.71410205278596,0.0,22.575867382701666,25.795870860801628,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  17:00:00,19.4,8.911111111,0.0,449.71410205278596,0.0,22.290160380821064,23.703184374371787,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  18:00:00,19.0,8.905555556,0.0,449.71410205278596,0.0,21.9571120161316,21.363741237201868,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  19:00:00,18.9,8.905555556,0.0,449.71410205278596,0.0,21.82075616865061,20.17009078328469,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  20:00:00,18.9,8.905555556,0.0,449.71410205278596,0.0,21.670580769253398,19.488411897278347,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  21:00:00,19.0,8.905555556,0.0,449.71410205278596,0.0,21.45762046510275,19.25917954288139,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  22:00:00,19.0,8.905555556,0.0,449.71410205278596,0.0,21.391588054031853,18.767073913800168,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  23:00:00,16.7,8.905555556,0.0,449.71410205278596,0.0,21.13604837528289,17.037974193918544,0.0,0.0,0.0,0.0,0.0,0.0
 01/04  24:00:00,15.6,8.905555556,0.0,449.71410205278596,0.0,20.924196597743002,15.77260472494454,0.0,0.0,0.0,0.0,0.0,0.0
 01/05  01:00:00,14.4,8.9,0.0,449.71410205278596,0.0,20.580909768547613,14.46447040967006,0.0,0.0,0.0,0.0,0.0,0.0
 01/05  02:00:00,14.4,8.9,0.0,449.71410205278596,0.0,20.476164921952005,13.9274868366123,0.0,0.0,0.0,0.0,0.0,0.0
 01/05  03:00:00,12.2,8.9,0.0,449.71410205278596,0.0,19.863112346164975,12.54647709384355,0.0,0.0,0.0,0.0,0.0,0.0
 01/05  04:00:00,10.6,8.894444444,0.0,449.71410205278596,0.0,19.539457763541982,11.295836735164949,0.0,0.0,0.0,0.0,0.0,0.0
 01/05  05:00:00,9.4,8.888888889,0.0,449.71410205278596,0.0,19.419436853234302,10.112344360456204,0.0,0.0,0.0,0.0,200.0,0.0
 01/05  06:00:00,8.9,8.888888889,0.0,449.71410205278596,0.0,19.676618423790245,9.870034536324848,5.260261142674489,0.0,108.44742079227873,0.0,194.4336640087646,0.0
