Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),INTERIOR LIGHTS:Lights Electricity Rate [W](Hourly),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](Hourly),GAS_MELS1:Gas Equipment NaturalGas Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](Hourly),WATER HEATER:Water Heater Electricity Rate [W](Hourly)
 01/01  20:00:00,-14.75,10.79322199739079,499.8141954648682,966.763942931258,0.0,20.5298221954698,8.840868296555094,9.412386356130723,785.5581173719816,0.0,880.7360684771827
 01/01  21:00:00,-14.0,10.79322199739079,499.8141954648682,1000.0,0.0,20.531472700412594,9.604722014256268,9.64275413188162,804.7846205535232,0.0,436.2351896089083
 01/01  22:00:00,-14.0,10.79322199739079,377.98448532030656,976.653696498055,0.0,20.523340430298057,10.159157312877051,10.801210728678882,901.4694514566299,0.0,430.45449914104776
 01/01  23:00:00,-13.25,10.79322199739079,210.46863387153435,845.168612191959,0.0,20.509546182535368,10.564717315381899,12.263205751571612,1023.4876107561322,0.0,420.31393469048478
 01/01  24:00:00,-13.0,10.79322199739079,85.90556484552423,734.43579766537,0.0,20.50485589453435,10.777622633718249,13.875453397433489,1158.0458595891424,0.0,410.3458265483723
 01/02  01:00:00,-13.0,10.726601198421533,34.36222593820969,607.4902723735411,0.0,20.522174885230748,10.159737049904305,15.754478312620585,1314.869349299377,0.0,0.0
 01/02  02:00:00,-13.75,10.726601198421533,34.36222593820969,559.338521400778,0.0,20.521518754243617,9.167284694588501,17.11031210943454,1428.0272886991698,0.0,0.0
 01/02  03:00:00,-13.25,10.726601198421533,34.36222593820969,552.853437094682,0.0,20.522964176751395,9.861496520956841,16.953413908747526,1414.9325590007377,0.0,396.05148658225576
 01/02  04:00:00,-12.25,10.726601198421533,34.36222593820969,545.071335927367,0.0,20.52131009380143,9.49283502700839,17.216685532826405,1436.9052185945673,0.0,0.0
 01/02  05:00:00,-12.0,10.726601198421533,103.08667781462906,524.481193255512,0.0,20.50995145206294,9.089573059235036,17.180668669271513,1433.8992498149929,0.0,0.0
 01/02  06:00:00,-11.25,10.726601198421533,214.76391211381057,585.278858625162,0.0,20.513680004377297,8.894887994150994,16.343868053079473,1364.0598390853889,0.0,411.34315443966696
 01/02  07:00:00,-10.25,10.726601198421533,240.53558156746784,676.2321660181581,0.0,20.52215119786264,9.379083968122672,15.437309718091772,1288.3984465356712,0.0,436.14375187101839
 01/02  08:00:00,-9.25,10.726601198421533,214.76391211381057,718.547341115435,0.0,20.52747247081801,10.152119390646848,13.864861263666424,1157.1618397087228,0.0,894.2248926072085
 01/02  09:00:00,-9.0,10.726601198421533,94.49612133007664,607.4902723735411,0.0,20.53098619556814,10.976577282076552,10.610216667519936,885.5290799677861,0.0,449.7966631594116
 01/02  10:00:00,-9.0,10.726601198421533,64.42917363414317,517.023346303502,0.0,20.541763147118986,12.538709714936236,8.599681622782308,717.7297499258616,0.0,892.0163726005419
 01/02  11:00:00,-8.25,10.726601198421533,64.42917363414317,529.1828793774321,0.0,20.537688506823359,13.637947920501628,8.135661224205505,679.0025901030219,0.0,438.890806528274
 01/02  12:00:00,-7.25,10.726601198421533,64.42917363414317,529.345006485084,0.0,20.53901112336743,14.616603810329755,6.30018398548654,525.813591099806,0.0,431.7033884145514
 01/02  13:00:00,-7.0,10.726601198421533,64.42917363414317,520.428015564202,0.0,20.54952212714225,16.4984812408619,3.1699338824088825,264.56280040362108,0.0,426.25326065592255
 01/02  14:00:00,-7.0,10.726601198421533,64.42917363414317,538.424124513619,0.0,20.553181821161116,18.126785916651934,0.8643469626579532,72.13842983607568,0.0,422.7155283506631
 01/02  15:00:00,-7.75,10.726601198421533,64.42917363414317,568.741893644617,0.0,20.552609116217647,18.65846203753273,0.3527932348015324,29.444136573478987,0.0,419.6961544433767
 01/02  16:00:00,-8.75,10.726601198421533,111.67723429918149,600.356679636835,0.0,20.550398064498745,16.783674829673893,2.991303523899139,249.65430400036866,0.0,418.29175226525799
 01/02  17:00:00,-11.25,10.726601198421533,240.53558156746784,710.11673151751,0.0,20.546105456096805,13.901133248117607,6.351623996696986,530.1067763596475,0.0,422.2019642423711
 01/02  18:00:00,-15.0,10.726601198421533,335.03170289754447,862.6783398184181,0.0,20.540989634691444,11.731457943886728,8.09596380732862,675.6894422055152,0.0,428.7276793406843
 01/02  19:00:00,-16.0,10.726601198421533,451.00421543900219,936.608300907912,0.0,20.53352991827372,10.587254507145092,8.819275444432753,736.0570584951581,0.0,872.0633543917461
 01/02  20:00:00,-15.25,10.726601198421533,499.8141954648682,966.763942931258,0.0,20.53553224100685,9.43384368684455,9.866236645944957,823.4364795370636,0.0,437.8665256290212
 01/02  21:00:00,-15.75,10.726601198421533,499.8141954648682,1000.0,0.0,20.52730876656888,9.58527552399346,10.556195297425136,881.0204543988955,0.0,433.81415025232595
 01/02  22:00:00,-15.100000000000002,10.726601198421533,377.98448532030656,976.653696498055,0.0,20.51025376531785,9.388886339345806,11.856046952035986,989.5061221162921,0.0,428.20553233616399
 01/02  23:00:00,-13.975,10.726601198421533,210.46863387153435,845.168612191959,0.0,20.504252299473266,9.199272610615548,13.650119505139595,1139.2394845092245,0.0,418.95580804956077
 01/02  24:00:00,-12.8,10.726601198421533,85.90556484552423,734.43579766537,0.0,20.5018809705111,9.296658771752857,15.334634048346175,1279.8291312979127,0.0,409.5531424900867
 07/21  01:00:00,19.546499999999996,21.778426685548369,34.36222593820969,607.4902723735411,0.0,23.99836517174696,17.84319637839603,0.0,0.0,0.0,0.0
 07/21  02:00:00,18.830999999999997,21.778426685548369,34.36222593820969,559.338521400778,0.0,23.446544429517368,16.815464673786616,0.0,0.0,0.0,0.0
 07/21  03:00:00,18.314249999999995,21.778426685548369,34.36222593820969,552.853437094682,0.0,23.02882424094401,16.044799775371176,0.0,0.0,0.0,0.0
 07/21  04:00:00,17.837249999999999,21.778426685548369,34.36222593820969,545.071335927367,0.0,22.662993608046578,15.42938448773017,0.0,0.0,0.0,0.0
 07/21  05:00:00,17.479499999999999,21.778426685548369,103.08667781462906,524.481193255512,0.0,22.867643521029124,15.627468113159996,0.0,0.0,0.0,397.34737101842037
 07/21  06:00:00,17.638499999999998,21.778426685548369,214.76391211381057,585.278858625162,0.0,23.83264948121611,17.74707505371916,0.0,0.0,0.0,0.0
 07/21  07:00:00,18.552749999999997,21.778426685548369,240.53558156746784,676.2321660181581,0.0,24.71166307132819,22.209269862013657,0.0,0.0,0.0,420.0251930900504
 07/21  08:00:00,20.858249999999999,21.778426685548369,214.76391211381057,718.547341115435,0.0,25.439099432681304,28.25545009829922,0.8541610291376571,0.0,11.82891379577475,427.53068777245997
 07/21  09:00:00,23.799749999999997,21.778426685548369,94.49612133007664,607.4902723735411,0.0,25.55588142126878,34.643760411860657,4.218857414605845,0.0,60.86005760114251,430.39914448191987
 07/21  10:00:00,26.582249999999996,21.778426685548369,64.42917363414317,517.023346303502,0.0,25.55622259992353,40.28709606839968,8.185053293378723,0.0,123.8185271996575,428.87858542070276
 07/21  11:00:00,29.046749999999997,21.778426685548369,64.42917363414317,529.1828793774321,0.0,25.556519569418524,44.82014006457486,11.295204873709196,0.0,179.01321578984227,424.53838403328089
 07/21  12:00:00,30.835499999999997,21.778426685548369,64.42917363414317,529.345006485084,0.0,25.557138974140768,48.01499350895521,13.225530598601726,0.0,217.2542562202205,419.7921066713709
 07/21  13:00:00,32.187,21.778426685548369,64.42917363414317,520.428015564202,0.0,25.55992775799509,49.59223370203367,16.156878971448159,0.0,272.9549828943834,416.20873769527295
 07/21  14:00:00,33.10124999999999,21.778426685548369,64.42917363414317,538.424124513619,0.0,25.57479179911649,49.8376471525618,18.896106625951803,0.0,325.1842017732428,413.6494729875774
 07/21  15:00:00,33.3,21.778426685548369,64.42917363414317,568.741893644617,0.0,25.557448148414207,48.86840466307999,20.115658054392307,0.0,347.179911443605,411.59145900507976
 07/21  16:00:00,32.5845,21.778426685548369,111.67723429918149,600.356679636835,0.0,25.555496851204958,46.69423962694818,19.657066782499585,0.0,333.6069927040038,0.0
 07/21  17:00:00,31.391999999999997,21.778426685548369,240.53558156746784,710.11673151751,0.0,25.555709063486917,43.228801388708138,18.975005379559656,0.0,313.12569506704366,413.01574599717619
 07/21  18:00:00,29.881499999999997,21.778426685548369,335.03170289754447,862.6783398184181,0.0,25.555732977586844,38.63175492166611,18.167820178410694,0.0,289.2175199494826,416.9441086063207
 07/21  19:00:00,27.695249999999999,21.778426685548369,451.00421543900219,936.608300907912,0.0,25.555702493921936,33.38891857085656,15.509791212852937,0.0,234.58057226170599,421.5750905176458
 07/21  20:00:00,25.78725,21.778426685548369,499.8141954648682,966.763942931258,0.0,25.555640776151955,28.513618038691399,10.04222689685517,0.0,145.20035099400347,422.80419130519285
 07/21  21:00:00,24.276749999999998,21.778426685548369,499.8141954648682,1000.0,0.0,25.55566779689503,24.720717619796284,6.924805238380374,0.0,96.74123545482915,420.2705311456603
 07/21  22:00:00,22.845749999999997,21.778426685548369,377.98448532030656,976.653696498055,0.0,25.55562154143093,22.219153679556265,4.217609421812722,0.0,57.21732983788391,0.0
